Designator,Comment,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1
C1,4.7nF,Samsung Electro-Mechanics,CL10B472KB8NNNC,DigiKey,1276-1186-1-ND
C3,4.7nF,Samsung Electro-Mechanics,CL10B472KB8NNNC,DigiKey,1276-1186-1-ND
C50,4.7nF,Samsung Electro-Mechanics,CL10B472KB8NNNC,DigiKey,1276-1186-1-ND
C38,4.7uF,Samsung Electro-Mechanics,CL10A475KO8NNNC,DigiKey,1276-2878-1-ND
L3,4.7uH,Bourns Inc.,SRP6540-4R7M,DigiKey,SRP6540-4R7MCT-ND
R66,5.1k,Panasonic,ERJ-3EKF5101V,DigiKey,P5.10KHCT-ND
R69,5.1k,Panasonic,ERJ-3EKF5101V,DigiKey,P5.10KHCT-ND
X3,8Mhz,Abracon LLC,ABM8G-8.000MHZ-18-D2Y-T,DigiKey,535-10021-1-ND
L1,8.2uH,Würth Elektronik,7443330820,DigiKey,732-2432-1-ND
L2,8.2uH,Würth Elektronik,7443330820,DigiKey,732-2432-1-ND
R3,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R4,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R9,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R10,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R11,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R26,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R31,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R32,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R45,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R46,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R47,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R49,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R52,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R54,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R57,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R58,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R59,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R61,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R64,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R65,10k,Panasonic,ERJ-3EKF1002V,DigiKey,P10.0KHCT-ND
R21,10mR,Yageo,RL0603FR-070R01L,DigiKey,YAG3300CT-ND
R24,10mR,Yageo,RL0603FR-070R01L,DigiKey,YAG3300CT-ND
C61,10uF,Samsung Electro-Mechanics,CL10A106MO8NNNC,DigiKey,1276-2880-1-ND
C102,10uF,Samsung Electro-Mechanics,CL21A106KAYNNNE,DigiKey,1276-1035-1-ND
R29,11.3k,Panasonic,ERJ-3EKF1132V,DigiKey,P11.3KHCT-ND
C58,12pF,Murata Electronics,GJM1555C1H120FB01D,DigiKey,490-6072-1-ND
C60,12pF,Murata Electronics,GJM1555C1H120FB01D,DigiKey,490-6072-1-ND
C70,12pF,Murata Electronics,GJM1555C1H120FB01D,DigiKey,490-6072-1-ND
C71,12pF,Murata Electronics,GJM1555C1H120FB01D,DigiKey,490-6072-1-ND
X1,16Mhz,Abracon LLC,ABM10W-16.0000MHZ-18-D2X-T3,DigiKey,535-13821-1-ND
R14,20k,Panasonic,ERJ-3EKF2002V,DigiKey,P20.0KHCT-ND
R15,20k,Panasonic,ERJ-3EKF2002V,DigiKey,P20.0KHCT-ND
R20,20mR,Bourns Inc.,CRM2512-FX-20R0ELF,DigiKey,CRM2512-FX-20R0ELFCT-ND
C56,22pF,Murata Electronics,GRM1885C1H220JA01D,DigiKey,490-1271-1-ND
C57,22pF,Murata Electronics,GRM1885C1H220JA01D,DigiKey,490-1271-1-ND
R38,22R,Panasonic,ERJ-2RKF22R0X,DigiKey,P22.0LCT-ND
R39,22R,Panasonic,ERJ-2RKF22R0X,DigiKey,P22.0LCT-ND
R40,22R,Panasonic,ERJ-2RKF22R0X,DigiKey,P22.0LCT-ND
R41,22R,Panasonic,ERJ-2RKF22R0X,DigiKey,P22.0LCT-ND
R42,22R,Panasonic,ERJ-2RKF22R0X,DigiKey,P22.0LCT-ND
R60,22R,Panasonic,ERJ-3EKF22R0V,DigiKey,P22.0HCT-ND
R73,22R,Panasonic,ERJ-2RKF22R0X,DigiKey,P22.0LCT-ND
R74,22R,Panasonic,ERJ-2RKF22R0X,DigiKey,P22.0LCT-ND
R75,22R,Panasonic,ERJ-2RKF22R0X,DigiKey,P22.0LCT-ND
R76,22R,Panasonic,ERJ-2RKF22R0X,DigiKey,P22.0LCT-ND
C5,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C7,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C9,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C11,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C13,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C15,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C19,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C20,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C23,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C24,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C27,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C28,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C42,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C44,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C52,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C53,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C97,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C99,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C105,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C108,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C110,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
C113,22uF,Samsung Electro-Mechanics,CL21A226KAYNNNE,DigiKey,1276-1036-1-ND
U14,24LC04BT-E/SN,Microchip Technology,24LC04BT-E/SN,DigiKey,24LC04BT-E/SNCT-ND
R16,24.9k,Panasonic,ERJ-3EKF2492V,DigiKey,P24.9KHCT-ND
R17,24.9k,Panasonic,ERJ-3EKF2492V,DigiKey,P24.9KHCT-ND
R25,43k,Panasonic,ERJ-3EKF4302V,DigiKey,P43.0KHCT-ND
C17,47uF,Taiyo Yuden,TMK325ABJ476MM-P,DigiKey,587-3362-1-ND
C18,47uF,Taiyo Yuden,TMK325ABJ476MM-P,DigiKey,587-3362-1-ND
C21,47uF,Taiyo Yuden,TMK325ABJ476MM-P,DigiKey,587-3362-1-ND
C22,47uF,Taiyo Yuden,TMK325ABJ476MM-P,DigiKey,587-3362-1-ND
R27,49.9k,Panasonic,ERJ-3EKF4992V,DigiKey,P49.9KHCT-ND
C51,68uF,KEMET,T543X336M050AHE040,DigiKey,399-T543X336M050AHE040CT-ND
R12,100k,Panasonic,ERJ-3EKF1003V,DigiKey,P100KHCT-ND
R13,100k,Panasonic,ERJ-3EKF1003V,DigiKey,P100KHCT-ND
C37,100nF,Samsung Electro-Mechanics,CL05B104KA5NNNC,DigiKey,1276-1002-1-ND
C55,100nF,Samsung Electro-Mechanics,CL05B104KA5NNNC,DigiKey,1276-1002-1-ND
C6,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C8,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C10,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C12,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C14,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C16,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C25,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C26,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C29,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C30,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C31,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C32,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C39,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C41,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C43,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C47,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C48,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C59,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C62,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C63,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C64,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C66,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C67,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C69,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C73,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C74,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C76,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C77,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C78,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C80,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C81,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C82,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C88,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C92,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C93,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C94,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C95,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C98,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C100,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C103,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C106,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C109,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C111,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C114,100nF,Samsung Electro-Mechanics,CL10B104KO8NNNC,DigiKey,1276-1004-1-ND
C49,100pF,Murata Electronics,GRM1885C1H101JA01D,DigiKey,490-1262-1-ND
C96,100uF,AVX / Kyocera,TAJE107K016RNJ,DigiKey,478-1815-1-ND
C101,100uF,AVX / Kyocera,TAJE107K016RNJ,DigiKey,478-1815-1-ND
C104,100uF,AVX / Kyocera,TAJE107K016RNJ,DigiKey,478-1815-1-ND
C107,100uF,AVX / Kyocera,TAJE107K016RNJ,DigiKey,478-1815-1-ND
C112,100uF,AVX / Kyocera,TAJE107K016RNJ,DigiKey,478-1815-1-ND
R22,102k,Panasonic,ERJ-3EKF1023V,DigiKey,P102KHCT-ND
R1,105k,Panasonic,ERJ-3EKF1053V,DigiKey,P105KHCT-ND
R2,105k,Panasonic,ERJ-3EKF1053V,DigiKey,P105KHCT-ND
R37,120R,Panasonic,ERJ-3EKF1200V,DigiKey,P120HCT-ND
R48,120R,Panasonic,ERJ-6ENF1200V,DigiKey,P120ACT-ND
C45,120uF,KEMET,T543X107M025AHE060,DigiKey,399-T543X107M025AHE060CT-ND
R23,332k,Panasonic,ERJ-3EKF3323V,DigiKey,P332KHCT-ND
R7,665R,Panasonic,ERJ-3EKF6650V,DigiKey,P665HCT-ND
P4,532610671,Molex,0532610671,DigiKey,WM7624CT-ND
P5,532610671,Molex,0532610671,DigiKey,WM7624CT-ND
U6,ATMEGA128A-AU,Microchip Technology,ATMEGA128A-AU,DigiKey,ATMEGA128A-AU-ND
R18,DNP/4.7k,DNP,DNP,-,-
R19,DNP/4.7k,DNP,DNP,-,-
C35,DNP/100nF,DNP,DNP,-,-
C36,DNP/100nF,DNP,DNP,-,-
R28,DNP/150k,DNP,DNP,-,-
H1,ESQ-126-14-G-D,Samtec Inc.,ESQ-126-14-G-D,DigiKey,SAM10433-ND
H2,ESQ-126-14-G-D,Samtec Inc.,ESQ-126-14-G-D,DigiKey,SAM10433-ND
L4,FB 600R,Murata Electronics,BLM18KG601SN1D,DigiKey,490-5234-1-ND
JTAG,Header 4,Molex,0022288040,DigiKey,WM6404-ND
P1,Header 4,Molex,0022288040,DigiKey,WM6404-ND
D3,Led,Würth Elektronik,150060YS75000,DigiKey,732-4978-1-ND
D4,Led,Würth Elektronik,150060YS75000,DigiKey,732-4978-1-ND
D5,Led,Würth Elektronik,150060YS75000,DigiKey,732-4978-1-ND
D6,Led,Würth Elektronik,150060YS75000,DigiKey,732-4978-1-ND
D7,Led,Würth Elektronik,150060YS75000,DigiKey,732-4978-1-ND
D8,Led,Würth Elektronik,150060YS75000,DigiKey,732-4978-1-ND
D9,Led,Würth Elektronik,150060YS75000,DigiKey,732-4978-1-ND
U3,LMR33630ADDA,Texas Instruments,LMR33630ADDAR,DigiKey,296-LMR33630ADDARCT-ND
U4,LMR33630ADDA,Texas Instruments,LMR33630ADDAR,DigiKey,296-LMR33630ADDARCT-ND
U12,MAX232DR,Texas Instruments,MAX232DR,DigiKey,296-1402-1-ND
U9,MAX485ESA+,Analog Devices / Maxim,MAX485ESA+T,DigiKey,MAX485ESA+TCT-ND
U7,MCP2515-SO,Microchip Technology,MCP2515-I/SO,DigiKey,MCP2515-I/SO-ND
NT1,NT,Hardware,NET-TIE-0603,-,-
U10,PAC1934T-I/JQ,Microchip Technology,PAC1934T-I/JQ,DigiKey,PAC1934T-I/JQCT-ND
U15,PCA9508DP,118,NXP Semiconductors,PCA9508DP,118,DigiKey,568-10182-1-ND
H3,Shield,Würth Elektronik,9774060360R,DigiKey,732-11100-1-ND
H4,Shield,Würth Elektronik,9774060360R,DigiKey,732-11100-1-ND
H5,Shield,Würth Elektronik,9774060360R,DigiKey,732-11100-1-ND
H6,Shield,Würth Elektronik,9774060360R,DigiKey,732-11100-1-ND
D1,SMBJ16A,Littelfuse Inc.,SMBJ16A,DigiKey,SMBJ16ALFCT-ND
D2,SMBJ16A,Littelfuse Inc.,SMBJ16A,DigiKey,SMBJ16ALFCT-ND
D10,SMBJ16A,Littelfuse Inc.,SMBJ16A,DigiKey,SMBJ16ALFCT-ND
U8,SN65HVD251DR,Texas Instruments,SN65HVD251DR,DigiKey,296-26351-1-ND
SW1,SW2,C&K,PTS645SM43SMTR92 LFS,DigiKey,CKN9112CT-ND
U11,TC1047AVNBTR,Microchip Technology,TC1047AVNBTR,DigiKey,TC1047AVNBTRCT-ND
U13,TPL5010QDDCTQ1,Texas Instruments,TPL5010QDDCTQ1,DigiKey,296-43890-1-ND
U5,TPS55287RYQR,Texas Instruments,TPS55287RYQR,DigiKey,296-TPS55287RYQRCT-ND
U1,TPS259470ARPWR,Texas Instruments,TPS259470ARPWR,DigiKey,296-TPS259470ARPWRCT-ND
U2,TPS259470ARPWR,Texas Instruments,TPS259470ARPWR,DigiKey,296-TPS259470ARPWRCT-ND
P3,UART_CONSOLE,Molex,0532610471,DigiKey,WM7622CT-ND
P2,UART_DEBUG,Molex,0532610471,DigiKey,WM7622CT-ND
R50,Shunt 4 Pin,Susumu,KRL1632E-M-R010-F-T5,DigiKey,408-1570-1-ND
R51,Shunt 4 Pin,Susumu,KRL1632E-M-R010-F-T5,DigiKey,408-1570-1-ND
R53,Shunt 4 Pin,Susumu,KRL1632E-M-R010-F-T5,DigiKey,408-1570-1-ND
R55,Shunt 4 Pin,Susumu,KRL1632E-M-R010-F-T5,DigiKey,408-1570-1-ND
X2,Crystal 2 Pins,NDK,NX2012SA-32.768K-STD-MUB-1,DigiKey,644-1219-1-ND
